id,smirks,sources
EVODEX-Cm1,[O:1].[C:6]>>[O:1][C:6],"EVODEX-P1,EVODEX-P3,EVODEX-P43,EVODEX-P45,EVODEX-P50,EVODEX-P51,EVODEX-P77,EVODEX-P79,EVODEX-P86,EVODEX-P88,EVODEX-P110,EVODEX-P112,EVODEX-P129,EVODEX-P134,EVODEX-P135,EVODEX-P164,EVODEX-P176,EVODEX-P178,EVODEX-P185,EVODEX-P187,EVODEX-P199,EVODEX-P201,EVODEX-P233,EVODEX-P235,EVODEX-P244,EVODEX-P281,EVODEX-P283,EVODEX-P305,EVODEX-P307,EVODEX-P322,EVODEX-P323,EVODEX-P332,EVODEX-P354,EVODEX-P356,EVODEX-P361,EVODEX-P369,EVODEX-P424,EVODEX-P426,EVODEX-P439,EVODEX-P450,EVODEX-P451,EVODEX-P499,EVODEX-P501,EVODEX-P505,EVODEX-P507,EVODEX-P511,EVODEX-P513,EVODEX-P517,EVODEX-P519,EVODEX-P540,EVODEX-P541,EVODEX-P542,EVODEX-P544,EVODEX-P553,EVODEX-P554,EVODEX-P570,EVODEX-P572,EVODEX-P595,EVODEX-P597,EVODEX-P601,EVODEX-P602,EVODEX-P639,EVODEX-P648,EVODEX-P650,EVODEX-P662,EVODEX-P664,EVODEX-P668,EVODEX-P670,EVODEX-P717,EVODEX-P719,EVODEX-P723,EVODEX-P725,EVODEX-P729,EVODEX-P730,EVODEX-P753,EVODEX-P756,EVODEX-P758,EVODEX-P770,EVODEX-P772,EVODEX-P781,EVODEX-P783,EVODEX-P787,EVODEX-P789,EVODEX-P793,EVODEX-P794,EVODEX-P805,EVODEX-P807,EVODEX-P808,EVODEX-P812,EVODEX-P814,EVODEX-P831,EVODEX-P832,EVODEX-P850,EVODEX-P852,EVODEX-P862,EVODEX-P864,EVODEX-P886,EVODEX-P888,EVODEX-P899,EVODEX-P901,EVODEX-P908,EVODEX-P910,EVODEX-P919,EVODEX-P921,EVODEX-P930,EVODEX-P950,EVODEX-P967,EVODEX-P969,EVODEX-P982,EVODEX-P984,EVODEX-P998,EVODEX-P1004,EVODEX-P1006,EVODEX-P1016,EVODEX-P1018,EVODEX-P1027,EVODEX-P1029,EVODEX-P1033,EVODEX-P1035,EVODEX-P1083,EVODEX-P1084,EVODEX-P1088,EVODEX-P1090,EVODEX-P1098,EVODEX-P1100,EVODEX-P1101,EVODEX-P1127,EVODEX-P1129,EVODEX-P1144,EVODEX-P1145,EVODEX-P1146,EVODEX-P1147,EVODEX-P1153,EVODEX-P1155,EVODEX-P1165,EVODEX-P1197,EVODEX-P1207,EVODEX-P1214,EVODEX-P1216,EVODEX-P1224,EVODEX-P1225,EVODEX-P1239,EVODEX-P1241,EVODEX-P1282,EVODEX-P1285,EVODEX-P1287,EVODEX-P1307,EVODEX-P1308,EVODEX-P1320,EVODEX-P1322,EVODEX-P1327,EVODEX-P1329,EVODEX-P1352,EVODEX-P1354,EVODEX-P1363,EVODEX-P1364,EVODEX-P1385,EVODEX-P1387,EVODEX-P1390,EVODEX-P1391,EVODEX-P1411,EVODEX-P1412,EVODEX-P1461,EVODEX-P1462,EVODEX-P1490,EVODEX-P1492,EVODEX-P1496,EVODEX-P1511,EVODEX-P1580,EVODEX-P1582,EVODEX-P1591,EVODEX-P1593,EVODEX-P1601,EVODEX-P1622,EVODEX-P1623,EVODEX-P1628,EVODEX-P1629,EVODEX-P1634,EVODEX-P1635,EVODEX-P1640,EVODEX-P1642,EVODEX-P1646,EVODEX-P1648,EVODEX-P1657,EVODEX-P1659,EVODEX-P1669,EVODEX-P1718,EVODEX-P1719,EVODEX-P1724,EVODEX-P1725,EVODEX-P1741,EVODEX-P1742,EVODEX-P1752,EVODEX-P1753,EVODEX-P1758,EVODEX-P1783,EVODEX-P1785,EVODEX-P1799,EVODEX-P1801,EVODEX-P1812,EVODEX-P1813,EVODEX-P1816,EVODEX-P1819,EVODEX-P1843,EVODEX-P1846,EVODEX-P1851,EVODEX-P1852,EVODEX-P1865,EVODEX-P1872,EVODEX-P1874,EVODEX-P1883,EVODEX-P1885,EVODEX-P1891,EVODEX-P1895,EVODEX-P1897,EVODEX-P1903,EVODEX-P1905"
EVODEX-Cm2,[O:1]>>[O:1],"EVODEX-P2,EVODEX-P4,EVODEX-P19,EVODEX-P33,EVODEX-P37,EVODEX-P46,EVODEX-P53,EVODEX-P54,EVODEX-P61,EVODEX-P63,EVODEX-P66,EVODEX-P68,EVODEX-P73,EVODEX-P75,EVODEX-P78,EVODEX-P81,EVODEX-P89,EVODEX-P94,EVODEX-P96,EVODEX-P111,EVODEX-P114,EVODEX-P132,EVODEX-P136,EVODEX-P158,EVODEX-P163,EVODEX-P165,EVODEX-P169,EVODEX-P177,EVODEX-P180,EVODEX-P186,EVODEX-P188,EVODEX-P193,EVODEX-P195,EVODEX-P202,EVODEX-P207,EVODEX-P218,EVODEX-P224,EVODEX-P236,EVODEX-P241,EVODEX-P245,EVODEX-P254,EVODEX-P263,EVODEX-P276,EVODEX-P284,EVODEX-P294,EVODEX-P308,EVODEX-P312,EVODEX-P315,EVODEX-P324,EVODEX-P337,EVODEX-P340,EVODEX-P355,EVODEX-P362,EVODEX-P370,EVODEX-P372,EVODEX-P383,EVODEX-P404,EVODEX-P406,EVODEX-P416,EVODEX-P425,EVODEX-P427,EVODEX-P435,EVODEX-P447,EVODEX-P452,EVODEX-P458,EVODEX-P466,EVODEX-P487,EVODEX-P489,EVODEX-P500,EVODEX-P502,EVODEX-P508,EVODEX-P512,EVODEX-P515,EVODEX-P520,EVODEX-P528,EVODEX-P530,EVODEX-P535,EVODEX-P538,EVODEX-P543,EVODEX-P555,EVODEX-P557,EVODEX-P564,EVODEX-P571,EVODEX-P581,EVODEX-P586,EVODEX-P598,EVODEX-P603,EVODEX-P618,EVODEX-P641,EVODEX-P651,EVODEX-P665,EVODEX-P669,EVODEX-P671,EVODEX-P677,EVODEX-P679,EVODEX-P685,EVODEX-P702,EVODEX-P720,EVODEX-P724,EVODEX-P727,EVODEX-P731,EVODEX-P733,EVODEX-P737,EVODEX-P739,EVODEX-P743,EVODEX-P745,EVODEX-P754,EVODEX-P757,EVODEX-P765,EVODEX-P780,EVODEX-P782,EVODEX-P784,EVODEX-P788,EVODEX-P790,EVODEX-P795,EVODEX-P797,EVODEX-P806,EVODEX-P810,EVODEX-P813,EVODEX-P820,EVODEX-P834,EVODEX-P837,EVODEX-P839,EVODEX-P845,EVODEX-P848,EVODEX-P853,EVODEX-P863,EVODEX-P865,EVODEX-P877,EVODEX-P881,EVODEX-P889,EVODEX-P902,EVODEX-P909,EVODEX-P911,EVODEX-P922,EVODEX-P925,EVODEX-P931,EVODEX-P934,EVODEX-P946,EVODEX-P951,EVODEX-P959,EVODEX-P970,EVODEX-P979,EVODEX-P983,EVODEX-P985,EVODEX-P997,EVODEX-P1003,EVODEX-P1005,EVODEX-P1013,EVODEX-P1017,EVODEX-P1019,EVODEX-P1025,EVODEX-P1030,EVODEX-P1034,EVODEX-P1037,EVODEX-P1040,EVODEX-P1043,EVODEX-P1065,EVODEX-P1071,EVODEX-P1086,EVODEX-P1089,EVODEX-P1091,EVODEX-P1099,EVODEX-P1102,EVODEX-P1108,EVODEX-P1128,EVODEX-P1130,EVODEX-P1137,EVODEX-P1150,EVODEX-P1154,EVODEX-P1156,EVODEX-P1160,EVODEX-P1168,EVODEX-P1178,EVODEX-P1185,EVODEX-P1192,EVODEX-P1196,EVODEX-P1202,EVODEX-P1217,EVODEX-P1226,EVODEX-P1231,EVODEX-P1233,EVODEX-P1237,EVODEX-P1240,EVODEX-P1252,EVODEX-P1254,EVODEX-P1258,EVODEX-P1266,EVODEX-P1271,EVODEX-P1276,EVODEX-P1281,EVODEX-P1283,EVODEX-P1284,EVODEX-P1286,EVODEX-P1289,EVODEX-P1294,EVODEX-P1303,EVODEX-P1310,EVODEX-P1317,EVODEX-P1321,EVODEX-P1328,EVODEX-P1330,EVODEX-P1349,EVODEX-P1358,EVODEX-P1360,EVODEX-P1366,EVODEX-P1386,EVODEX-P1392,EVODEX-P1393,EVODEX-P1401,EVODEX-P1439,EVODEX-P1447,EVODEX-P1450,EVODEX-P1471,EVODEX-P1475,EVODEX-P1482,EVODEX-P1493,EVODEX-P1497,EVODEX-P1516,EVODEX-P1522,EVODEX-P1526,EVODEX-P1531,EVODEX-P1533,EVODEX-P1538,EVODEX-P1545,EVODEX-P1547,EVODEX-P1561,EVODEX-P1578,EVODEX-P1581,EVODEX-P1592,EVODEX-P1594,EVODEX-P1604,EVODEX-P1617,EVODEX-P1619,EVODEX-P1624,EVODEX-P1630,EVODEX-P1632,EVODEX-P1636,EVODEX-P1641,EVODEX-P1643,EVODEX-P1647,EVODEX-P1656,EVODEX-P1658,EVODEX-P1660,EVODEX-P1670,EVODEX-P1678,EVODEX-P1684,EVODEX-P1687,EVODEX-P1695,EVODEX-P1703,EVODEX-P1720,EVODEX-P1730,EVODEX-P1733,EVODEX-P1739,EVODEX-P1744,EVODEX-P1751,EVODEX-P1761,EVODEX-P1769,EVODEX-P1775,EVODEX-P1779,EVODEX-P1784,EVODEX-P1786,EVODEX-P1790,EVODEX-P1792,EVODEX-P1800,EVODEX-P1802,EVODEX-P1808,EVODEX-P1809,EVODEX-P1815,EVODEX-P1838,EVODEX-P1853,EVODEX-P1857,EVODEX-P1867,EVODEX-P1873,EVODEX-P1876,EVODEX-P1880,EVODEX-P1884,EVODEX-P1886,EVODEX-P1894,EVODEX-P1898,EVODEX-P1904,EVODEX-P1906"
EVODEX-Cm3,[C:2]>>[C:2],"EVODEX-P5,EVODEX-P9,EVODEX-P11,EVODEX-P35,EVODEX-P47,EVODEX-P52,EVODEX-P80,EVODEX-P90,EVODEX-P106,EVODEX-P113,EVODEX-P116,EVODEX-P122,EVODEX-P131,EVODEX-P137,EVODEX-P138,EVODEX-P143,EVODEX-P144,EVODEX-P148,EVODEX-P155,EVODEX-P171,EVODEX-P183,EVODEX-P189,EVODEX-P203,EVODEX-P227,EVODEX-P237,EVODEX-P272,EVODEX-P280,EVODEX-P285,EVODEX-P289,EVODEX-P303,EVODEX-P309,EVODEX-P325,EVODEX-P333,EVODEX-P347,EVODEX-P357,EVODEX-P367,EVODEX-P384,EVODEX-P389,EVODEX-P394,EVODEX-P396,EVODEX-P398,EVODEX-P412,EVODEX-P428,EVODEX-P431,EVODEX-P440,EVODEX-P453,EVODEX-P483,EVODEX-P491,EVODEX-P492,EVODEX-P503,EVODEX-P509,EVODEX-P514,EVODEX-P521,EVODEX-P549,EVODEX-P556,EVODEX-P561,EVODEX-P565,EVODEX-P566,EVODEX-P567,EVODEX-P593,EVODEX-P599,EVODEX-P604,EVODEX-P611,EVODEX-P616,EVODEX-P634,EVODEX-P640,EVODEX-P652,EVODEX-P663,EVODEX-P666,EVODEX-P672,EVODEX-P697,EVODEX-P712,EVODEX-P718,EVODEX-P721,EVODEX-P726,EVODEX-P732,EVODEX-P759,EVODEX-P773,EVODEX-P774,EVODEX-P778,EVODEX-P785,EVODEX-P791,EVODEX-P796,EVODEX-P803,EVODEX-P809,EVODEX-P815,EVODEX-P833,EVODEX-P854,EVODEX-P857,EVODEX-P870,EVODEX-P884,EVODEX-P890,EVODEX-P897,EVODEX-P903,EVODEX-P905,EVODEX-P912,EVODEX-P923,EVODEX-P932,EVODEX-P936,EVODEX-P944,EVODEX-P961,EVODEX-P964,EVODEX-P971,EVODEX-P986,EVODEX-P994,EVODEX-P1007,EVODEX-P1020,EVODEX-P1031,EVODEX-P1036,EVODEX-P1051,EVODEX-P1056,EVODEX-P1058,EVODEX-P1069,EVODEX-P1073,EVODEX-P1080,EVODEX-P1085,EVODEX-P1092,EVODEX-P1103,EVODEX-P1115,EVODEX-P1117,EVODEX-P1122,EVODEX-P1131,EVODEX-P1133,EVODEX-P1138,EVODEX-P1157,EVODEX-P1167,EVODEX-P1172,EVODEX-P1188,EVODEX-P1198,EVODEX-P1205,EVODEX-P1208,EVODEX-P1218,EVODEX-P1227,EVODEX-P1242,EVODEX-P1249,EVODEX-P1261,EVODEX-P1288,EVODEX-P1296,EVODEX-P1304,EVODEX-P1305,EVODEX-P1306,EVODEX-P1309,EVODEX-P1314,EVODEX-P1318,EVODEX-P1319,EVODEX-P1323,EVODEX-P1331,EVODEX-P1338,EVODEX-P1355,EVODEX-P1365,EVODEX-P1373,EVODEX-P1380,EVODEX-P1388,EVODEX-P1400,EVODEX-P1406,EVODEX-P1413,EVODEX-P1430,EVODEX-P1432,EVODEX-P1443,EVODEX-P1444,EVODEX-P1463,EVODEX-P1467,EVODEX-P1479,EVODEX-P1483,EVODEX-P1484,EVODEX-P1485,EVODEX-P1494,EVODEX-P1502,EVODEX-P1505,EVODEX-P1512,EVODEX-P1541,EVODEX-P1550,EVODEX-P1569,EVODEX-P1583,EVODEX-P1595,EVODEX-P1598,EVODEX-P1625,EVODEX-P1631,EVODEX-P1637,EVODEX-P1644,EVODEX-P1649,EVODEX-P1652,EVODEX-P1661,EVODEX-P1664,EVODEX-P1689,EVODEX-P1690,EVODEX-P1704,EVODEX-P1705,EVODEX-P1716,EVODEX-P1721,EVODEX-P1726,EVODEX-P1743,EVODEX-P1754,EVODEX-P1760,EVODEX-P1765,EVODEX-P1787,EVODEX-P1803,EVODEX-P1822,EVODEX-P1836,EVODEX-P1844,EVODEX-P1849,EVODEX-P1854,EVODEX-P1860,EVODEX-P1866,EVODEX-P1875,EVODEX-P1887,EVODEX-P1893,EVODEX-P1899,EVODEX-P1907"
EVODEX-Cm4,>>,"EVODEX-P6,EVODEX-P27,EVODEX-P39,EVODEX-P48,EVODEX-P55,EVODEX-P64,EVODEX-P70,EVODEX-P76,EVODEX-P82,EVODEX-P91,EVODEX-P97,EVODEX-P107,EVODEX-P115,EVODEX-P118,EVODEX-P133,EVODEX-P139,EVODEX-P145,EVODEX-P151,EVODEX-P173,EVODEX-P190,EVODEX-P197,EVODEX-P198,EVODEX-P204,EVODEX-P209,EVODEX-P228,EVODEX-P229,EVODEX-P238,EVODEX-P243,EVODEX-P257,EVODEX-P274,EVODEX-P286,EVODEX-P295,EVODEX-P310,EVODEX-P316,EVODEX-P327,EVODEX-P339,EVODEX-P358,EVODEX-P359,EVODEX-P360,EVODEX-P363,EVODEX-P368,EVODEX-P371,EVODEX-P381,EVODEX-P407,EVODEX-P429,EVODEX-P430,EVODEX-P455,EVODEX-P493,EVODEX-P504,EVODEX-P510,EVODEX-P516,EVODEX-P522,EVODEX-P532,EVODEX-P537,EVODEX-P552,EVODEX-P558,EVODEX-P573,EVODEX-P575,EVODEX-P583,EVODEX-P588,EVODEX-P594,EVODEX-P600,EVODEX-P606,EVODEX-P612,EVODEX-P620,EVODEX-P653,EVODEX-P667,EVODEX-P673,EVODEX-P681,EVODEX-P686,EVODEX-P691,EVODEX-P699,EVODEX-P715,EVODEX-P722,EVODEX-P728,EVODEX-P734,EVODEX-P740,EVODEX-P746,EVODEX-P750,EVODEX-P755,EVODEX-P760,EVODEX-P786,EVODEX-P792,EVODEX-P798,EVODEX-P804,EVODEX-P811,EVODEX-P816,EVODEX-P830,EVODEX-P835,EVODEX-P841,EVODEX-P849,EVODEX-P855,EVODEX-P866,EVODEX-P885,EVODEX-P891,EVODEX-P904,EVODEX-P913,EVODEX-P924,EVODEX-P938,EVODEX-P963,EVODEX-P972,EVODEX-P981,EVODEX-P987,EVODEX-P1008,EVODEX-P1015,EVODEX-P1021,EVODEX-P1026,EVODEX-P1032,EVODEX-P1038,EVODEX-P1044,EVODEX-P1053,EVODEX-P1082,EVODEX-P1087,EVODEX-P1093,EVODEX-P1097,EVODEX-P1105,EVODEX-P1110,EVODEX-P1116,EVODEX-P1118,EVODEX-P1132,EVODEX-P1141,EVODEX-P1152,EVODEX-P1158,EVODEX-P1181,EVODEX-P1186,EVODEX-P1187,EVODEX-P1203,EVODEX-P1213,EVODEX-P1219,EVODEX-P1223,EVODEX-P1228,EVODEX-P1229,EVODEX-P1235,EVODEX-P1243,EVODEX-P1256,EVODEX-P1262,EVODEX-P1267,EVODEX-P1272,EVODEX-P1290,EVODEX-P1298,EVODEX-P1311,EVODEX-P1324,EVODEX-P1332,EVODEX-P1340,EVODEX-P1356,EVODEX-P1362,EVODEX-P1367,EVODEX-P1375,EVODEX-P1382,EVODEX-P1389,EVODEX-P1394,EVODEX-P1414,EVODEX-P1422,EVODEX-P1451,EVODEX-P1465,EVODEX-P1466,EVODEX-P1476,EVODEX-P1495,EVODEX-P1498,EVODEX-P1519,EVODEX-P1542,EVODEX-P1548,EVODEX-P1558,EVODEX-P1563,EVODEX-P1565,EVODEX-P1584,EVODEX-P1596,EVODEX-P1621,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1645,EVODEX-P1650,EVODEX-P1651,EVODEX-P1662,EVODEX-P1680,EVODEX-P1685,EVODEX-P1691,EVODEX-P1696,EVODEX-P1723,EVODEX-P1728,EVODEX-P1734,EVODEX-P1745,EVODEX-P1746,EVODEX-P1755,EVODEX-P1764,EVODEX-P1774,EVODEX-P1782,EVODEX-P1788,EVODEX-P1793,EVODEX-P1804,EVODEX-P1810,EVODEX-P1823,EVODEX-P1840,EVODEX-P1845,EVODEX-P1855,EVODEX-P1861,EVODEX-P1871,EVODEX-P1877,EVODEX-P1882,EVODEX-P1888,EVODEX-P1900,EVODEX-P1908"
EVODEX-Cm5,[C:2].[O:11]=[O:12].[O:10]>>[C:2]=[O:10]..[O:11][O:12],"EVODEX-P7,EVODEX-P10,EVODEX-P867,EVODEX-P869,EVODEX-P1054,EVODEX-P1057,EVODEX-P1397,EVODEX-P1399,EVODEX-P1428,EVODEX-P1431"
EVODEX-Cm6,[C:2].[O:10]>>[C:2]=[O:10],"EVODEX-P8,EVODEX-P12,EVODEX-P182,EVODEX-P386,EVODEX-P484,EVODEX-P563,EVODEX-P868,EVODEX-P871,EVODEX-P1055,EVODEX-P1059,EVODEX-P1302,EVODEX-P1316,EVODEX-P1402,EVODEX-P1405,EVODEX-P1429,EVODEX-P1433,EVODEX-P1481,EVODEX-P1503,EVODEX-P1506,EVODEX-P1702"
EVODEX-Cm7,[C:2].[O:11]=[O:12]>>[C:2]..[O:11][O:12],"EVODEX-P13,EVODEX-P14,EVODEX-P872,EVODEX-P873,EVODEX-P1060,EVODEX-P1061,EVODEX-P1193,EVODEX-P1403,EVODEX-P1407,EVODEX-P1434,EVODEX-P1435"
