id,formula,sources
EVODEX-F1,{},"EVODEX-P1,EVODEX-P7,EVODEX-P20,EVODEX-P43,EVODEX-P49,EVODEX-P50,EVODEX-P59,EVODEX-P65,EVODEX-P71,EVODEX-P77,EVODEX-P86,EVODEX-P92,EVODEX-P102,EVODEX-P110,EVODEX-P119,EVODEX-P133,EVODEX-P134,EVODEX-P140,EVODEX-P146,EVODEX-P152,EVODEX-P166,EVODEX-P168,EVODEX-P176,EVODEX-P185,EVODEX-P191,EVODEX-P192,EVODEX-P198,EVODEX-P199,EVODEX-P205,EVODEX-P216,EVODEX-P223,EVODEX-P229,EVODEX-P231,EVODEX-P233,EVODEX-P239,EVODEX-P244,EVODEX-P249,EVODEX-P252,EVODEX-P253,EVODEX-P258,EVODEX-P275,EVODEX-P278,EVODEX-P281,EVODEX-P288,EVODEX-P290,EVODEX-P291,EVODEX-P296,EVODEX-P299,EVODEX-P302,EVODEX-P305,EVODEX-P311,EVODEX-P318,EVODEX-P322,EVODEX-P335,EVODEX-P352,EVODEX-P354,EVODEX-P359,EVODEX-P360,EVODEX-P361,EVODEX-P364,EVODEX-P369,EVODEX-P373,EVODEX-P381,EVODEX-P385,EVODEX-P399,EVODEX-P401,EVODEX-P402,EVODEX-P410,EVODEX-P413,EVODEX-P424,EVODEX-P436,EVODEX-P450,EVODEX-P459,EVODEX-P463,EVODEX-P470,EVODEX-P488,EVODEX-P499,EVODEX-P505,EVODEX-P511,EVODEX-P517,EVODEX-P527,EVODEX-P533,EVODEX-P553,EVODEX-P559,EVODEX-P570,EVODEX-P574,EVODEX-P579,EVODEX-P584,EVODEX-P589,EVODEX-P595,EVODEX-P601,EVODEX-P607,EVODEX-P613,EVODEX-P648,EVODEX-P662,EVODEX-P668,EVODEX-P676,EVODEX-P682,EVODEX-P687,EVODEX-P694,EVODEX-P700,EVODEX-P717,EVODEX-P723,EVODEX-P729,EVODEX-P735,EVODEX-P741,EVODEX-P747,EVODEX-P753,EVODEX-P756,EVODEX-P761,EVODEX-P781,EVODEX-P787,EVODEX-P793,EVODEX-P799,EVODEX-P805,EVODEX-P807,EVODEX-P812,EVODEX-P817,EVODEX-P831,EVODEX-P836,EVODEX-P844,EVODEX-P850,EVODEX-P862,EVODEX-P867,EVODEX-P880,EVODEX-P886,EVODEX-P892,EVODEX-P893,EVODEX-P899,EVODEX-P906,EVODEX-P908,EVODEX-P914,EVODEX-P919,EVODEX-P926,EVODEX-P933,EVODEX-P939,EVODEX-P941,EVODEX-P952,EVODEX-P954,EVODEX-P956,EVODEX-P958,EVODEX-P965,EVODEX-P967,EVODEX-P977,EVODEX-P982,EVODEX-P999,EVODEX-P1004,EVODEX-P1009,EVODEX-P1011,EVODEX-P1016,EVODEX-P1022,EVODEX-P1027,EVODEX-P1033,EVODEX-P1039,EVODEX-P1047,EVODEX-P1049,EVODEX-P1054,EVODEX-P1066,EVODEX-P1083,EVODEX-P1088,EVODEX-P1094,EVODEX-P1098,EVODEX-P1100,EVODEX-P1106,EVODEX-P1111,EVODEX-P1119,EVODEX-P1127,EVODEX-P1134,EVODEX-P1136,EVODEX-P1153,EVODEX-P1159,EVODEX-P1181,EVODEX-P1182,EVODEX-P1194,EVODEX-P1199,EVODEX-P1204,EVODEX-P1214,EVODEX-P1220,EVODEX-P1224,EVODEX-P1229,EVODEX-P1230,EVODEX-P1236,EVODEX-P1239,EVODEX-P1251,EVODEX-P1257,EVODEX-P1263,EVODEX-P1268,EVODEX-P1280,EVODEX-P1282,EVODEX-P1285,EVODEX-P1291,EVODEX-P1299,EVODEX-P1307,EVODEX-P1312,EVODEX-P1320,EVODEX-P1327,EVODEX-P1335,EVODEX-P1352,EVODEX-P1357,EVODEX-P1363,EVODEX-P1370,EVODEX-P1378,EVODEX-P1385,EVODEX-P1390,EVODEX-P1397,EVODEX-P1411,EVODEX-P1418,EVODEX-P1423,EVODEX-P1428,EVODEX-P1440,EVODEX-P1446,EVODEX-P1452,EVODEX-P1453,EVODEX-P1461,EVODEX-P1472,EVODEX-P1477,EVODEX-P1490,EVODEX-P1496,EVODEX-P1517,EVODEX-P1518,EVODEX-P1523,EVODEX-P1529,EVODEX-P1535,EVODEX-P1537,EVODEX-P1543,EVODEX-P1549,EVODEX-P1554,EVODEX-P1559,EVODEX-P1564,EVODEX-P1580,EVODEX-P1591,EVODEX-P1597,EVODEX-P1610,EVODEX-P1616,EVODEX-P1622,EVODEX-P1628,EVODEX-P1634,EVODEX-P1640,EVODEX-P1646,EVODEX-P1657,EVODEX-P1676,EVODEX-P1681,EVODEX-P1686,EVODEX-P1692,EVODEX-P1697,EVODEX-P1699,EVODEX-P1718,EVODEX-P1724,EVODEX-P1729,EVODEX-P1741,EVODEX-P1752,EVODEX-P1770,EVODEX-P1776,EVODEX-P1778,EVODEX-P1783,EVODEX-P1789,EVODEX-P1796,EVODEX-P1797,EVODEX-P1798,EVODEX-P1799,EVODEX-P1805,EVODEX-P1824,EVODEX-P1841,EVODEX-P1851,EVODEX-P1856,EVODEX-P1868,EVODEX-P1872,EVODEX-P1878,EVODEX-P1883,EVODEX-P1895,EVODEX-P1903"
EVODEX-F2,"{'C': -4, 'N': -1, 'H': -5}",EVODEX-P2
EVODEX-F3,"{'O': -6, 'C': -6, 'H': -12}","EVODEX-P3,EVODEX-P51,EVODEX-P178,EVODEX-P513,EVODEX-P572,EVODEX-P758,EVODEX-P1006,EVODEX-P1593,EVODEX-P1742"
EVODEX-F4,"{'C': 4, 'N': 1, 'H': 5}",EVODEX-P4
EVODEX-F5,"{'O': -5, 'C': -6, 'H': -10}","EVODEX-P5,EVODEX-P52,EVODEX-P95,EVODEX-P111,EVODEX-P113,EVODEX-P177,EVODEX-P425,EVODEX-P512,EVODEX-P571,EVODEX-P669,EVODEX-P733,EVODEX-P759,EVODEX-P782,EVODEX-P806,EVODEX-P813,EVODEX-P1005,EVODEX-P1099,EVODEX-P1321,EVODEX-P1386,EVODEX-P1592,EVODEX-P1595,EVODEX-P1873"
EVODEX-F6,"{'O': 1, 'H': 2}","EVODEX-P6,EVODEX-P13,EVODEX-P27,EVODEX-P48,EVODEX-P55,EVODEX-P64,EVODEX-P70,EVODEX-P91,EVODEX-P139,EVODEX-P179,EVODEX-P190,EVODEX-P197,EVODEX-P204,EVODEX-P277,EVODEX-P286,EVODEX-P327,EVODEX-P330,EVODEX-P358,EVODEX-P363,EVODEX-P371,EVODEX-P419,EVODEX-P455,EVODEX-P504,EVODEX-P510,EVODEX-P522,EVODEX-P532,EVODEX-P552,EVODEX-P558,EVODEX-P573,EVODEX-P606,EVODEX-P653,EVODEX-P667,EVODEX-P681,EVODEX-P734,EVODEX-P755,EVODEX-P760,EVODEX-P798,EVODEX-P811,EVODEX-P816,EVODEX-P841,EVODEX-P855,EVODEX-P866,EVODEX-P872,EVODEX-P891,EVODEX-P904,EVODEX-P913,EVODEX-P924,EVODEX-P972,EVODEX-P987,EVODEX-P1021,EVODEX-P1032,EVODEX-P1060,EVODEX-P1093,EVODEX-P1105,EVODEX-P1132,EVODEX-P1141,EVODEX-P1158,EVODEX-P1161,EVODEX-P1193,EVODEX-P1219,EVODEX-P1235,EVODEX-P1238,EVODEX-P1243,EVODEX-P1267,EVODEX-P1324,EVODEX-P1332,EVODEX-P1356,EVODEX-P1394,EVODEX-P1403,EVODEX-P1434,EVODEX-P1495,EVODEX-P1498,EVODEX-P1528,EVODEX-P1584,EVODEX-P1596,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1645,EVODEX-P1650,EVODEX-P1723,EVODEX-P1728,EVODEX-P1788,EVODEX-P1793,EVODEX-P1804,EVODEX-P1823,EVODEX-P1847,EVODEX-P1888,EVODEX-P1900"
EVODEX-F7,"{'N': -1, 'H': -5}","EVODEX-P8,EVODEX-P868,EVODEX-P1405,EVODEX-P1429"
EVODEX-F8,"{'O': 1, 'N': -1, 'H': -3}","EVODEX-P9,EVODEX-P395,EVODEX-P565,EVODEX-P1304,EVODEX-P1406,EVODEX-P1430,EVODEX-P1483"
EVODEX-F9,"{'N': -1, 'H': -3}","EVODEX-P10,EVODEX-P323,EVODEX-P451,EVODEX-P534,EVODEX-P650,EVODEX-P869,EVODEX-P1029,EVODEX-P1399,EVODEX-P1431,EVODEX-P1725"
EVODEX-F10,{'O': 1},"EVODEX-P11,EVODEX-P131,EVODEX-P155,EVODEX-P440,EVODEX-P773,EVODEX-P779,EVODEX-P870,EVODEX-P944,EVODEX-P1058,EVODEX-P1198,EVODEX-P1208,EVODEX-P1400,EVODEX-P1432,EVODEX-P1502,EVODEX-P1512,EVODEX-P1532,EVODEX-P1598,EVODEX-P1664,EVODEX-P1740,EVODEX-P1760,EVODEX-P1893"
EVODEX-F11,{'H': -2},"EVODEX-P12,EVODEX-P41,EVODEX-P42,EVODEX-P57,EVODEX-P85,EVODEX-P100,EVODEX-P101,EVODEX-P127,EVODEX-P129,EVODEX-P157,EVODEX-P217,EVODEX-P221,EVODEX-P222,EVODEX-P246,EVODEX-P247,EVODEX-P251,EVODEX-P300,EVODEX-P301,EVODEX-P353,EVODEX-P375,EVODEX-P376,EVODEX-P438,EVODEX-P448,EVODEX-P449,EVODEX-P486,EVODEX-P496,EVODEX-P523,EVODEX-P524,EVODEX-P631,EVODEX-P633,EVODEX-P637,EVODEX-P642,EVODEX-P643,EVODEX-P654,EVODEX-P655,EVODEX-P674,EVODEX-P675,EVODEX-P751,EVODEX-P752,EVODEX-P856,EVODEX-P858,EVODEX-P871,EVODEX-P878,EVODEX-P879,EVODEX-P928,EVODEX-P975,EVODEX-P976,EVODEX-P990,EVODEX-P991,EVODEX-P1048,EVODEX-P1059,EVODEX-P1163,EVODEX-P1165,EVODEX-P1197,EVODEX-P1207,EVODEX-P1209,EVODEX-P1244,EVODEX-P1245,EVODEX-P1246,EVODEX-P1275,EVODEX-P1368,EVODEX-P1369,EVODEX-P1376,EVODEX-P1377,EVODEX-P1402,EVODEX-P1415,EVODEX-P1416,EVODEX-P1425,EVODEX-P1433,EVODEX-P1486,EVODEX-P1487,EVODEX-P1488,EVODEX-P1489,EVODEX-P1499,EVODEX-P1506,EVODEX-P1510,EVODEX-P1511,EVODEX-P1513,EVODEX-P1587,EVODEX-P1588,EVODEX-P1589,EVODEX-P1590,EVODEX-P1608,EVODEX-P1674,EVODEX-P1675,EVODEX-P1698,EVODEX-P1735,EVODEX-P1737,EVODEX-P1756,EVODEX-P1758,EVODEX-P1762,EVODEX-P1763,EVODEX-P1863,EVODEX-P1869,EVODEX-P1889,EVODEX-P1891"
EVODEX-F12,"{'O': 1, 'N': -1, 'H': -1}","EVODEX-P14,EVODEX-P182,EVODEX-P325,EVODEX-P332,EVODEX-P453,EVODEX-P549,EVODEX-P652,EVODEX-P873,EVODEX-P1031,EVODEX-P1407,EVODEX-P1435,EVODEX-P1726"
EVODEX-F13,"{'C': -8, 'H': -8}",EVODEX-P15
EVODEX-F14,"{'C': -8, 'H': -6}",EVODEX-P16
EVODEX-F15,"{'C': 8, 'H': 8}",EVODEX-P17
EVODEX-F16,{'H': 2},"EVODEX-P18,EVODEX-P58,EVODEX-P84,EVODEX-P99,EVODEX-P109,EVODEX-P162,EVODEX-P175,EVODEX-P250,EVODEX-P321,EVODEX-P329,EVODEX-P345,EVODEX-P409,EVODEX-P430,EVODEX-P441,EVODEX-P457,EVODEX-P473,EVODEX-P479,EVODEX-P481,EVODEX-P498,EVODEX-P526,EVODEX-P569,EVODEX-P578,EVODEX-P660,EVODEX-P693,EVODEX-P843,EVODEX-P949,EVODEX-P974,EVODEX-P989,EVODEX-P1046,EVODEX-P1173,EVODEX-P1187,EVODEX-P1213,EVODEX-P1274,EVODEX-P1279,EVODEX-P1292,EVODEX-P1326,EVODEX-P1334,EVODEX-P1384,EVODEX-P1396,EVODEX-P1410,EVODEX-P1466,EVODEX-P1553,EVODEX-P1586,EVODEX-P1602,EVODEX-P1651,EVODEX-P1672,EVODEX-P1707,EVODEX-P1714,EVODEX-P1746,EVODEX-P1764,EVODEX-P1795,EVODEX-P1871,EVODEX-P1902"
EVODEX-F17,"{'C': 8, 'H': 6}",EVODEX-P19
EVODEX-F18,"{'N': -5, 'O': -7, 'C': -10, 'P': -1, 'H': -14}","EVODEX-P21,EVODEX-P705,EVODEX-P736,EVODEX-P1221"
EVODEX-F19,"{'N': 1, 'O': 2, 'C': 3, 'H': 7}",EVODEX-P22
EVODEX-F20,"{'O': -7, 'P': -2, 'H': -4}","EVODEX-P23,EVODEX-P60,EVODEX-P206,EVODEX-P225,EVODEX-P336,EVODEX-P365,EVODEX-P683,EVODEX-P701,EVODEX-P846,EVODEX-P978,EVODEX-P1050,EVODEX-P1359,EVODEX-P1424,EVODEX-P1521,EVODEX-P1618,EVODEX-P1693"
EVODEX-F21,"{'O': -6, 'P': -2, 'H': -2}","EVODEX-P24,EVODEX-P62,EVODEX-P1040"
EVODEX-F22,"{'N': -4, 'O': -5, 'C': -7, 'P': -1, 'H': -7}",EVODEX-P25
EVODEX-F23,"{'N': 1, 'O': -5, 'C': 3, 'P': -2, 'H': 3}",EVODEX-P26
EVODEX-F24,"{'O': 2, 'C': 6, 'N': 3, 'H': 9}","EVODEX-P28,EVODEX-P1401"
EVODEX-F25,"{'O': -1, 'H': -2}","EVODEX-P29,EVODEX-P79,EVODEX-P154,EVODEX-P167,EVODEX-P219,EVODEX-P260,EVODEX-P342,EVODEX-P437,EVODEX-P460,EVODEX-P461,EVODEX-P490,EVODEX-P546,EVODEX-P615,EVODEX-P708,EVODEX-P789,EVODEX-P882,EVODEX-P927,EVODEX-P935,EVODEX-P943,EVODEX-P953,EVODEX-P960,EVODEX-P992,EVODEX-P1035,EVODEX-P1068,EVODEX-P1170,EVODEX-P1190,EVODEX-P1259,EVODEX-P1344,EVODEX-P1469,EVODEX-P1530,EVODEX-P1579,EVODEX-P1599,EVODEX-P1667,EVODEX-P1688,EVODEX-P1708,EVODEX-P1749,EVODEX-P1767,EVODEX-P1777,EVODEX-P1818,EVODEX-P1831"
EVODEX-F26,"{'N': -1, 'O': -8, 'C': -3, 'P': -2, 'H': -9}",EVODEX-P30
EVODEX-F27,"{'N': -2, 'O': -5, 'C': -4, 'P': -1, 'H': -5}",EVODEX-P31
EVODEX-F28,"{'N': 3, 'O': -5, 'C': 6, 'P': -2, 'H': 5}",EVODEX-P32
EVODEX-F29,"{'O': -6, 'C': -10, 'P': -1, 'N': -5, 'H': -12}","EVODEX-P33,EVODEX-P1520"
EVODEX-F30,"{'O': -2, 'C': -3, 'N': -1, 'H': -5}","EVODEX-P34,EVODEX-P200,EVODEX-P599,EVODEX-P1687,EVODEX-P1850,EVODEX-P1857"
EVODEX-F31,"{'O': 1, 'C': 6, 'N': 3, 'H': 7}",EVODEX-P35
EVODEX-F32,"{'O': 6, 'C': 10, 'P': 1, 'N': 5, 'H': 12}","EVODEX-P36,EVODEX-P337,EVODEX-P370,EVODEX-P685,EVODEX-P709,EVODEX-P979"
EVODEX-F33,"{'O': 5, 'C': 7, 'P': 1, 'N': 4, 'H': 7}",EVODEX-P37
EVODEX-F34,"{'O': 1, 'C': 3, 'N': 1, 'H': 5}",EVODEX-P38
EVODEX-F35,"{'O': 8, 'C': 16, 'P': 1, 'N': 8, 'H': 21}",EVODEX-P39
EVODEX-F36,{'H': 1},"EVODEX-P40,EVODEX-P56,EVODEX-P83,EVODEX-P98,EVODEX-P108,EVODEX-P174,EVODEX-P220,EVODEX-P248,EVODEX-P320,EVODEX-P328,EVODEX-P350,EVODEX-P408,EVODEX-P432,EVODEX-P456,EVODEX-P472,EVODEX-P475,EVODEX-P480,EVODEX-P497,EVODEX-P525,EVODEX-P568,EVODEX-P577,EVODEX-P658,EVODEX-P692,EVODEX-P842,EVODEX-P940,EVODEX-P973,EVODEX-P988,EVODEX-P1010,EVODEX-P1045,EVODEX-P1162,EVODEX-P1179,EVODEX-P1189,EVODEX-P1212,EVODEX-P1273,EVODEX-P1278,EVODEX-P1293,EVODEX-P1325,EVODEX-P1333,EVODEX-P1383,EVODEX-P1395,EVODEX-P1409,EVODEX-P1417,EVODEX-P1468,EVODEX-P1552,EVODEX-P1585,EVODEX-P1609,EVODEX-P1653,EVODEX-P1663,EVODEX-P1706,EVODEX-P1717,EVODEX-P1748,EVODEX-P1766,EVODEX-P1870,EVODEX-P1901"
EVODEX-F37,"{'S': -1, 'O': -2, 'C': -6, 'N': -1, 'H': -9}",EVODEX-P44
EVODEX-F38,"{'O': -4, 'C': -6, 'N': -2, 'H': -12}",EVODEX-P45
EVODEX-F39,"{'S': 1, 'O': 2, 'C': 6, 'N': 1, 'H': 9}",EVODEX-P46
EVODEX-F40,"{'O': -3, 'C': -6, 'N': -2, 'H': -10}",EVODEX-P47
EVODEX-F41,"{'O': 10, 'C': 12, 'H': 20}","EVODEX-P53,EVODEX-P884"
EVODEX-F42,"{'O': -10, 'C': -12, 'H': -20}","EVODEX-P54,EVODEX-P810"
EVODEX-F43,"{'N': 2, 'O': 8, 'C': 9, 'P': 1, 'H': 11}","EVODEX-P61,EVODEX-P207,EVODEX-P1254"
EVODEX-F44,"{'N': -2, 'O': -8, 'C': -9, 'P': -1, 'H': -11}","EVODEX-P63,EVODEX-P137,EVODEX-P1252,EVODEX-P1684"
EVODEX-F45,"{'N': -5, 'O': -9, 'C': -10, 'P': -2, 'H': -13}","EVODEX-P66,EVODEX-P1816"
EVODEX-F46,"{'O': -4, 'P': -1, 'H': -3}","EVODEX-P67,EVODEX-P194,EVODEX-P259,EVODEX-P356,EVODEX-P374,EVODEX-P464,EVODEX-P529,EVODEX-P614,EVODEX-P678,EVODEX-P730,EVODEX-P794,EVODEX-P818,EVODEX-P864,EVODEX-P1067,EVODEX-P1129,EVODEX-P1336,EVODEX-P1391,EVODEX-P1539,EVODEX-P1566,EVODEX-P1642,EVODEX-P1791,EVODEX-P1827"
EVODEX-F47,"{'O': 9, 'C': 10, 'P': 2, 'N': 5, 'H': 13}","EVODEX-P68,EVODEX-P264,EVODEX-P462,EVODEX-P1072,EVODEX-P1345,EVODEX-P1522,EVODEX-P1808,EVODEX-P1837"
EVODEX-F48,"{'O': -3, 'P': -1, 'H': -1}","EVODEX-P69,EVODEX-P75,EVODEX-P96,EVODEX-P196,EVODEX-P254,EVODEX-P312,EVODEX-P357,EVODEX-P406,EVODEX-P418,EVODEX-P531,EVODEX-P680,EVODEX-P732,EVODEX-P739,EVODEX-P796,EVODEX-P917,EVODEX-P1131,EVODEX-P1266,EVODEX-P1281,EVODEX-P1421,EVODEX-P1454,EVODEX-P1562,EVODEX-P1644,EVODEX-P1730,EVODEX-P1779"
EVODEX-F49,"{'N': -5, 'O': -8, 'C': -10, 'P': -1, 'H': -14}","EVODEX-P72,EVODEX-P1090,EVODEX-P1232"
EVODEX-F50,"{'O': 3, 'P': 1, 'H': 1}","EVODEX-P73,EVODEX-P80,EVODEX-P94,EVODEX-P241,EVODEX-P294,EVODEX-P315,EVODEX-P404,EVODEX-P416,EVODEX-P547,EVODEX-P581,EVODEX-P586,EVODEX-P619,EVODEX-P689,EVODEX-P737,EVODEX-P791,EVODEX-P1002,EVODEX-P1013,EVODEX-P1025,EVODEX-P1036,EVODEX-P1108,EVODEX-P1185,EVODEX-P1202,EVODEX-P1271,EVODEX-P1475,EVODEX-P1556,EVODEX-P1561,EVODEX-P1577,EVODEX-P1678,EVODEX-P1733,EVODEX-P1773,EVODEX-P1880"
EVODEX-F51,"{'O': 2, 'P': 1, 'H': 1}","EVODEX-P74,EVODEX-P738"
EVODEX-F52,"{'N': 5, 'O': 10, 'C': 10, 'P': 2, 'H': 15}","EVODEX-P76,EVODEX-P257,EVODEX-P918,EVODEX-P1422,EVODEX-P1457,EVODEX-P1782,EVODEX-P1815"
EVODEX-F53,"{'O': -8, 'C': -6, 'P': -1, 'H': -11}","EVODEX-P78,EVODEX-P863,EVODEX-P1034,EVODEX-P1265,EVODEX-P1393"
EVODEX-F54,"{'O': 8, 'C': 6, 'P': 1, 'H': 11}","EVODEX-P81,EVODEX-P865,EVODEX-P1037,EVODEX-P1392"
EVODEX-F55,"{'O': 4, 'P': 1, 'H': 3}","EVODEX-P82,EVODEX-P97,EVODEX-P115,EVODEX-P541,EVODEX-P792,EVODEX-P1001,EVODEX-P1008,EVODEX-P1038,EVODEX-P1145,EVODEX-P1389,EVODEX-P1414,EVODEX-P1812"
EVODEX-F56,"{'O': -3, 'C': -4, 'N': -1, 'H': -5}","EVODEX-P87,EVODEX-P1656"
EVODEX-F57,"{'O': -11, 'C': -58, 'N': -16, 'H': -84}",EVODEX-P88
EVODEX-F58,"{'O': 3, 'C': 4, 'N': 1, 'H': 5}",EVODEX-P89
EVODEX-F59,"{'O': -10, 'C': -58, 'N': -16, 'H': -82}",EVODEX-P90
EVODEX-F60,"{'O': -9, 'C': -6, 'P': -1, 'H': -13}","EVODEX-P93,EVODEX-P112,EVODEX-P255,EVODEX-P1253,EVODEX-P1264"
EVODEX-F61,"{'C': -1, 'H': -2}","EVODEX-P103,EVODEX-P186,EVODEX-P382,EVODEX-P562,EVODEX-P800,EVODEX-P1441"
EVODEX-F62,"{'S': -2, 'O': -3, 'C': -2, 'H': -6}",EVODEX-P104
EVODEX-F63,"{'C': 1, 'H': 2}","EVODEX-P105,EVODEX-P188,EVODEX-P564,EVODEX-P641,EVODEX-P802,EVODEX-P931,EVODEX-P1250,EVODEX-P1443"
EVODEX-F64,"{'S': -2, 'O': 13, 'C': 28, 'P': 1, 'N': 6, 'H': 39}",EVODEX-P106
EVODEX-F65,"{'O': 16, 'C': 30, 'P': 1, 'N': 6, 'H': 45}","EVODEX-P107,EVODEX-P1375"
EVODEX-F66,"{'O': 5, 'C': 6, 'H': 10}","EVODEX-P114,EVODEX-P245,EVODEX-P427,EVODEX-P514,EVODEX-P515,EVODEX-P671,EVODEX-P731,EVODEX-P784,EVODEX-P1086,EVODEX-P1310,EVODEX-P1366,EVODEX-P1594,EVODEX-P1744,EVODEX-P1853,EVODEX-P1876"
EVODEX-F67,"{'O': 1, 'C': 4, 'H': 6}","EVODEX-P116,EVODEX-P1030"
EVODEX-F68,"{'O': -3, 'C': -5, 'H': -6}","EVODEX-P117,EVODEX-P959"
EVODEX-F69,"{'C': 1, 'N': 1, 'H': 5}",EVODEX-P118
EVODEX-F70,"{'S': -1, 'O': -16, 'C': -21, 'P': -3, 'N': -7, 'H': -36}","EVODEX-P120,EVODEX-P142,EVODEX-P307,EVODEX-P507,EVODEX-P609,EVODEX-P832,EVODEX-P1113,EVODEX-P1120,EVODEX-P1139,EVODEX-P1379"
