id,sources,smirks
EVODEX-E103,"EVODEX-P131,EVODEX-P1760",[H][C:49](:[N:48]):[N:50]>>[H]O[C:49](:[N:48]):[N:50]
EVODEX-E105,"EVODEX-P1213,EVODEX-P1229,EVODEX-P133,EVODEX-P1871,EVODEX-P198,EVODEX-P229,EVODEX-P359,EVODEX-P360",>>
EVODEX-E141,"EVODEX-P1224,EVODEX-P1285,EVODEX-P1657,EVODEX-P1851,EVODEX-P1903,EVODEX-P668,EVODEX-P723,EVODEX-P781",[H][O:19][C:18].[O:27][C@:28]([O:29])([C:41])[H:73]>>[C:18][O:19][C@@:28]([O:27])([C:41])[H:73].[H][O:29]
EVODEX-E170,"EVODEX-P1048,EVODEX-P1590,EVODEX-P217,EVODEX-P353,EVODEX-P879",[H][C:8]([C:7])([O:9][H])[H:19]>>[C:7][C:8](=[O:9])[H:19]
EVODEX-E172,"EVODEX-P1049,EVODEX-P223,EVODEX-P364",[O:8][C@:9]([O:10])([C:19])[H:38].[H][N:29](:[C:28]):[C:30]>>[O:8][C@:9]([C:19])([N:29](:[C:28]):[C:30])[H:38].[H][O:10]
EVODEX-E178,"EVODEX-P231,EVODEX-P318",[H][O:10][C:9]1([C:11])[O:8][C:7][C@:15]([O:16][H])([H:28])[C:13]1>>[H][C:13][C:9](=[O:10])[C:11].[H][O:8][C:7][C:15](=[O:16])[H:28]
EVODEX-E180,"EVODEX-P1461,EVODEX-P233",[N:10][C@:11]([O:12])([C:22])[H:39].[H][O:26][P:25]>>[C@@:11]([O:12])([C:22])([O:26][P:25])[H:39].[H][N:10]
EVODEX-E192,"EVODEX-P252,EVODEX-P954",[H][C@@:3]([C:2](=[O:1])[H:11])([O:4][H])[C:5]>>[H][O:1][C:2]([H])([C:3](=[O:4])[C:5])[H:11]
EVODEX-E217,"EVODEX-P1205,EVODEX-P280",[H][C:7]([C:6])=[O:8]>>[H]OC(=O)[C:7]([C:6])=[O:8]
EVODEX-E234,"EVODEX-P299,EVODEX-P939",[H][C:3]([C:2](=[O:1])[C:5])([O:4][H])[H:19]>>[H][O:1][C@:2]([H])([C:3](=[O:4])[H:19])[C:5]
EVODEX-E241,"EVODEX-P307,EVODEX-P832",[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[C:2]([C:1])=[O:3])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:80][C:79]>>[C:1][C:2](=[O:3])[O:80][C:79]
EVODEX-E252,"EVODEX-P1726,EVODEX-P325,EVODEX-P453",[H]N([H])[C:2](:[N:3]):[N:11]>>[H]O[C:2](:[N:3]):[N:11]
EVODEX-E28,"EVODEX-P1259,EVODEX-P935,EVODEX-P960",[H]O[C:4]([C:3])=[O:5].[H][N:7]([C:8])[H:72]>>[C:3][C:4](=[O:5])[N:7]([C:8])[H:72]
EVODEX-E315,"EVODEX-P1652,EVODEX-P431",[H]OP(=O)(O[H])O[C:46](=[O:45])[C:52]>>[H][C:46](=[O:45])[C:52]
EVODEX-E369,"EVODEX-P1742,EVODEX-P513",[H][O:13][C:12].[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@:28]([O:27])([C:29])[C:43])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[C:12][O:13][C@@:28]([O:27])([C:29])[C:43]
EVODEX-E377,"EVODEX-P524,EVODEX-P675",[H][C@@:52]([C:50]=[O:49])([C:53])[N:57]([H])[C:56]>>[O:49]=[C:50][C:52]([C:53])=[N:57][C:56]
EVODEX-E39,"EVODEX-P101,EVODEX-P1369,EVODEX-P1416,EVODEX-P1487,EVODEX-P1675,EVODEX-P1763,EVODEX-P247,EVODEX-P42,EVODEX-P449,EVODEX-P655",[H][C@:47]([C:46])([O:48][H])[C:49]>>[C:46][C:47](=[O:48])[C:49]
EVODEX-E396,"EVODEX-P1031,EVODEX-P652",[H]N([H])[C:2](=[O:3])[C:4]>>[H]O[C:2](=[O:3])[C:4]
EVODEX-E413,"EVODEX-P1410,EVODEX-P1553,EVODEX-P1707,EVODEX-P578",[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C@@:48]([C:46]=[O:45])([O:49][H])[C:50]
EVODEX-E45,"EVODEX-P1517,EVODEX-P49",[H][O:23][C:22].[O:6][C@@:7]([O:8])([C:16])[H:29]>>[C@@:7]([O:8])([C:16])([O:23][C:22])[H:29].[H][O:6]
EVODEX-E51,"EVODEX-P1274,EVODEX-P1326,EVODEX-P1334,EVODEX-P1384,EVODEX-P321,EVODEX-P329,EVODEX-P409,EVODEX-P457,EVODEX-P498,EVODEX-P569,EVODEX-P58,EVODEX-P843,EVODEX-P99",[O:45]=[C:46]([C:47])[C:54]>>[H][O:45][C@@:46]([H])([C:47])[C:54]
EVODEX-E517,"EVODEX-P732,EVODEX-P796",[H]OP(=O)(O[H])O[C@:7]([C:8])([C:16])[H:20]>>[H]O[C@@:7]([C:8])([C:16])[H:20]
EVODEX-E528,"EVODEX-P1377,EVODEX-P1489,EVODEX-P752,EVODEX-P956",[H][C@:2]([C:1])([O:3][H])[C:4]=[O:5]>>[C:1][C:2](=[O:3])[C:4]=[O:5]
EVODEX-E59,"EVODEX-P196,EVODEX-P680",[H]OP(=O)(O[H])O[P:20]([O:19])(=[O:21])[O:22]>>[H]O[P:20]([O:19])(=[O:21])[O:22]
EVODEX-E6,"EVODEX-P1021,EVODEX-P1093,EVODEX-P1158,EVODEX-P1235,EVODEX-P1243,EVODEX-P1332,EVODEX-P139,EVODEX-P1498,EVODEX-P1584,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1650,EVODEX-P1723,EVODEX-P1788,EVODEX-P1804,EVODEX-P1888,EVODEX-P190,EVODEX-P1900,EVODEX-P286,EVODEX-P363,EVODEX-P371,EVODEX-P48,EVODEX-P504,EVODEX-P522,EVODEX-P558,EVODEX-P606,EVODEX-P667,EVODEX-P755,EVODEX-P811,EVODEX-P841,EVODEX-P855,EVODEX-P891,EVODEX-P913,EVODEX-P924,EVODEX-P972,EVODEX-P987",>>[H]O.[H]
EVODEX-E69,"EVODEX-P1036,EVODEX-P791,EVODEX-P80",[H]O[C:16]([C:14])([H:31])[H:32]>>[H]OP(=O)(O[H])O[C:16]([C:14])([H:31])[H:32]
EVODEX-E71,"EVODEX-P115,EVODEX-P1389,EVODEX-P1414,EVODEX-P97",>>[H]OP(O)(=O)O[H].[H]
EVODEX-E72,"EVODEX-P109,EVODEX-P481,EVODEX-P526,EVODEX-P84,EVODEX-P974,EVODEX-P989",[C:1][C:2](=[O:3])[H:55]>>[H][C:2]([C:1])([O:3][H])[H:55]
EVODEX-E763,"EVODEX-P1131,EVODEX-P1644",[H]OP(=O)(O[H])O[C:12]([C:11])([H:31])[H:32]>>[H]O[C:12]([C:11])([H:31])[H:32]
EVODEX-E785,"EVODEX-P1161,EVODEX-P1238",[N:1]#[C:2][C:3]>>[H][N:1]([H])[C:2](=O)[C:3]
EVODEX-E79,"EVODEX-P1266,EVODEX-P254,EVODEX-P96",[H]OP(=O)(O[H])[O:4][C:3]>>[H][O:4][C:3]
EVODEX-E793,"EVODEX-P1188,EVODEX-P1467",[H]O[C:46](=[O:45])[C:48]>>[H][C:46](=[O:45])[C:48]
EVODEX-E800,"EVODEX-P1198,EVODEX-P1208,EVODEX-P1512,EVODEX-P1893",[H][C:7]([C:6])=[O:8]>>[H]O[C:7]([C:6])=[O:8]
EVODEX-E817,"EVODEX-P1245,EVODEX-P1588",[H][O:49][C:50]([H])([O:51])[C:57]>>[O:49]=[C:50]([O:51])[C:57]
EVODEX-E87,"EVODEX-P1321,EVODEX-P571,EVODEX-P813",[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:15][C:14])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:15][C:14]
