MICROEXP	SIMNAME	SELCOEF	TIMEMUT
HUGEsEARLYt	31	0.04	200
HUGEsEARLYt	32	0.04	200
HUGEsEARLYt	33	0.04	200
HUGEsEARLYt	34	0.04	200
HUGEsEARLYt	35	0.04	200
HUGEsEARLYt	36	0.04	200
HUGEsEARLYt	37	0.04	200
HUGEsEARLYt	38	0.04	200
HUGEsEARLYt	39	0.04	200
HUGEsEARLYt	40	0.04	200
HUGEsEARLYt	41	0.04	200
HUGEsEARLYt	42	0.04	200
HUGEsEARLYt	43	0.04	200
HUGEsEARLYt	44	0.04	200
HUGEsEARLYt	45	0.04	200
HUGEsEARLYt	46	0.04	200
HUGEsEARLYt	47	0.04	200
HUGEsEARLYt	48	0.04	200
HUGEsEARLYt	49	0.04	200
HUGEsEARLYt	50	0.04	200
HUGEsEARLYt	51	0.04	200
HUGEsEARLYt	52	0.04	200
HUGEsEARLYt	53	0.04	200
HUGEsEARLYt	54	0.04	200
HUGEsEARLYt	55	0.04	200
HUGEsEARLYt	56	0.04	200
HUGEsEARLYt	57	0.04	200
HUGEsEARLYt	58	0.04	200
HUGEsEARLYt	59	0.04	200
HUGEsEARLYt	60	0.04	200
HUGEsLATEt	31	0.04	250
HUGEsLATEt	32	0.04	250
HUGEsLATEt	33	0.04	250
HUGEsLATEt	34	0.04	250
HUGEsLATEt	35	0.04	250
HUGEsLATEt	36	0.04	250
HUGEsLATEt	37	0.04	250
HUGEsLATEt	38	0.04	250
HUGEsLATEt	39	0.04	250
HUGEsLATEt	40	0.04	250
HUGEsLATEt	41	0.04	250
HUGEsLATEt	42	0.04	250
HUGEsLATEt	43	0.04	250
HUGEsLATEt	44	0.04	250
HUGEsLATEt	45	0.04	250
HUGEsLATEt	46	0.04	250
HUGEsLATEt	47	0.04	250
HUGEsLATEt	48	0.04	250
HUGEsLATEt	49	0.04	250
HUGEsLATEt	50	0.04	250
HUGEsLATEt	51	0.04	250
HUGEsLATEt	52	0.04	250
HUGEsLATEt	53	0.04	250
HUGEsLATEt	54	0.04	250
HUGEsLATEt	55	0.04	250
HUGEsLATEt	56	0.04	250
HUGEsLATEt	57	0.04	250
HUGEsLATEt	58	0.04	250
HUGEsLATEt	59	0.04	250
HUGEsLATEt	60	0.04	250
TEENYsEARLYt	31	0.01	350
TEENYsEARLYt	32	0.01	350
TEENYsEARLYt	33	0.01	350
TEENYsEARLYt	34	0.01	350
TEENYsEARLYt	35	0.01	350
TEENYsEARLYt	36	0.01	350
TEENYsEARLYt	37	0.01	350
TEENYsEARLYt	38	0.01	350
TEENYsEARLYt	39	0.01	350
TEENYsEARLYt	40	0.01	350
TEENYsEARLYt	41	0.01	350
TEENYsEARLYt	42	0.01	350
TEENYsEARLYt	43	0.01	350
TEENYsEARLYt	44	0.01	350
TEENYsEARLYt	45	0.01	350
TEENYsEARLYt	46	0.01	350
TEENYsEARLYt	47	0.01	350
TEENYsEARLYt	48	0.01	350
TEENYsEARLYt	49	0.01	350
TEENYsEARLYt	50	0.01	350
TEENYsEARLYt	51	0.01	350
TEENYsEARLYt	52	0.01	350
TEENYsEARLYt	53	0.01	350
TEENYsEARLYt	54	0.01	350
TEENYsEARLYt	55	0.01	350
TEENYsEARLYt	56	0.01	350
TEENYsEARLYt	57	0.01	350
TEENYsEARLYt	58	0.01	350
TEENYsEARLYt	59	0.01	350
TEENYsEARLYt	60	0.01	350
TEENYsLATEt	31	0.01	400
TEENYsLATEt	32	0.01	400
TEENYsLATEt	33	0.01	400
TEENYsLATEt	34	0.01	400
TEENYsLATEt	35	0.01	400
TEENYsLATEt	36	0.01	400
TEENYsLATEt	37	0.01	400
TEENYsLATEt	38	0.01	400
TEENYsLATEt	39	0.01	400
TEENYsLATEt	40	0.01	400
TEENYsLATEt	41	0.01	400
TEENYsLATEt	42	0.01	400
TEENYsLATEt	43	0.01	400
TEENYsLATEt	44	0.01	400
TEENYsLATEt	45	0.01	400
TEENYsLATEt	46	0.01	400
TEENYsLATEt	47	0.01	400
TEENYsLATEt	48	0.01	400
TEENYsLATEt	49	0.01	400
TEENYsLATEt	50	0.01	400
TEENYsLATEt	51	0.01	400
TEENYsLATEt	52	0.01	400
TEENYsLATEt	53	0.01	400
TEENYsLATEt	54	0.01	400
TEENYsLATEt	55	0.01	400
TEENYsLATEt	56	0.01	400
TEENYsLATEt	57	0.01	400
TEENYsLATEt	58	0.01	400
TEENYsLATEt	59	0.01	400
TEENYsLATEt	60	0.01	400
HUGEsEARLYt	61	0.04	200
HUGEsEARLYt	62	0.04	200
HUGEsEARLYt	63	0.04	200
HUGEsEARLYt	64	0.04	200
HUGEsEARLYt	65	0.04	200
HUGEsEARLYt	66	0.04	200
HUGEsEARLYt	67	0.04	200
HUGEsEARLYt	68	0.04	200
HUGEsEARLYt	69	0.04	200
HUGEsEARLYt	70	0.04	200
HUGEsEARLYt	71	0.04	200
HUGEsEARLYt	72	0.04	200
HUGEsEARLYt	73	0.04	200
HUGEsEARLYt	74	0.04	200
HUGEsEARLYt	75	0.04	200
HUGEsEARLYt	76	0.04	200
HUGEsEARLYt	77	0.04	200
HUGEsEARLYt	78	0.04	200
HUGEsEARLYt	79	0.04	200
HUGEsEARLYt	80	0.04	200
HUGEsEARLYt	81	0.04	200
HUGEsEARLYt	82	0.04	200
HUGEsEARLYt	83	0.04	200
HUGEsEARLYt	84	0.04	200
HUGEsEARLYt	85	0.04	200
HUGEsEARLYt	86	0.04	200
HUGEsEARLYt	87	0.04	200
HUGEsEARLYt	88	0.04	200
HUGEsEARLYt	89	0.04	200
HUGEsEARLYt	90	0.04	200
HUGEsLATEt	61	0.04	250
HUGEsLATEt	62	0.04	250
HUGEsLATEt	63	0.04	250
HUGEsLATEt	64	0.04	250
HUGEsLATEt	65	0.04	250
HUGEsLATEt	66	0.04	250
HUGEsLATEt	67	0.04	250
HUGEsLATEt	68	0.04	250
HUGEsLATEt	69	0.04	250
HUGEsLATEt	70	0.04	250
HUGEsLATEt	71	0.04	250
HUGEsLATEt	72	0.04	250
HUGEsLATEt	73	0.04	250
HUGEsLATEt	74	0.04	250
HUGEsLATEt	75	0.04	250
HUGEsLATEt	76	0.04	250
HUGEsLATEt	77	0.04	250
HUGEsLATEt	78	0.04	250
HUGEsLATEt	79	0.04	250
HUGEsLATEt	80	0.04	250
HUGEsLATEt	81	0.04	250
HUGEsLATEt	82	0.04	250
HUGEsLATEt	83	0.04	250
HUGEsLATEt	84	0.04	250
HUGEsLATEt	85	0.04	250
HUGEsLATEt	86	0.04	250
HUGEsLATEt	87	0.04	250
HUGEsLATEt	88	0.04	250
HUGEsLATEt	89	0.04	250
HUGEsLATEt	90	0.04	250
TEENYsEARLYt	61	0.01	350
TEENYsEARLYt	62	0.01	350
TEENYsEARLYt	63	0.01	350
TEENYsEARLYt	64	0.01	350
TEENYsEARLYt	65	0.01	350
TEENYsEARLYt	66	0.01	350
TEENYsEARLYt	67	0.01	350
TEENYsEARLYt	68	0.01	350
TEENYsEARLYt	69	0.01	350
TEENYsEARLYt	70	0.01	350
TEENYsEARLYt	71	0.01	350
TEENYsEARLYt	72	0.01	350
TEENYsEARLYt	73	0.01	350
TEENYsEARLYt	74	0.01	350
TEENYsEARLYt	75	0.01	350
TEENYsEARLYt	76	0.01	350
TEENYsEARLYt	77	0.01	350
TEENYsEARLYt	78	0.01	350
TEENYsEARLYt	79	0.01	350
TEENYsEARLYt	80	0.01	350
TEENYsEARLYt	81	0.01	350
TEENYsEARLYt	82	0.01	350
TEENYsEARLYt	83	0.01	350
TEENYsEARLYt	84	0.01	350
TEENYsEARLYt	85	0.01	350
TEENYsEARLYt	86	0.01	350
TEENYsEARLYt	87	0.01	350
TEENYsEARLYt	88	0.01	350
TEENYsEARLYt	89	0.01	350
TEENYsEARLYt	90	0.01	350
TEENYsLATEt	61	0.01	400
TEENYsLATEt	62	0.01	400
TEENYsLATEt	63	0.01	400
TEENYsLATEt	64	0.01	400
TEENYsLATEt	65	0.01	400
TEENYsLATEt	66	0.01	400
TEENYsLATEt	67	0.01	400
TEENYsLATEt	68	0.01	400
TEENYsLATEt	69	0.01	400
TEENYsLATEt	70	0.01	400
TEENYsLATEt	71	0.01	400
TEENYsLATEt	72	0.01	400
TEENYsLATEt	73	0.01	400
TEENYsLATEt	74	0.01	400
TEENYsLATEt	75	0.01	400
TEENYsLATEt	76	0.01	400
TEENYsLATEt	77	0.01	400
TEENYsLATEt	78	0.01	400
TEENYsLATEt	79	0.01	400
TEENYsLATEt	80	0.01	400
TEENYsLATEt	81	0.01	400
TEENYsLATEt	82	0.01	400
TEENYsLATEt	83	0.01	400
TEENYsLATEt	84	0.01	400
TEENYsLATEt	85	0.01	400
TEENYsLATEt	86	0.01	400
TEENYsLATEt	87	0.01	400
TEENYsLATEt	88	0.01	400
TEENYsLATEt	89	0.01	400
TEENYsLATEt	90	0.01	400
HUGEsEARLYt	91	0.04	200
HUGEsEARLYt	92	0.04	200
HUGEsEARLYt	93	0.04	200
HUGEsEARLYt	94	0.04	200
HUGEsEARLYt	95	0.04	200
HUGEsEARLYt	96	0.04	200
HUGEsEARLYt	97	0.04	200
HUGEsEARLYt	98	0.04	200
HUGEsEARLYt	99	0.04	200
HUGEsEARLYt	100	0.04	200
HUGEsLATEt	91	0.04	250
HUGEsLATEt	92	0.04	250
HUGEsLATEt	93	0.04	250
HUGEsLATEt	94	0.04	250
HUGEsLATEt	95	0.04	250
HUGEsLATEt	96	0.04	250
HUGEsLATEt	97	0.04	250
HUGEsLATEt	98	0.04	250
HUGEsLATEt	99	0.04	250
HUGEsLATEt	100	0.04	250
TEENYsEARLYt	91	0.01	350
TEENYsEARLYt	92	0.01	350
TEENYsEARLYt	93	0.01	350
TEENYsEARLYt	94	0.01	350
TEENYsEARLYt	95	0.01	350
TEENYsEARLYt	96	0.01	350
TEENYsEARLYt	97	0.01	350
TEENYsEARLYt	98	0.01	350
TEENYsEARLYt	99	0.01	350
TEENYsEARLYt	100	0.01	350
TEENYsLATEt	91	0.01	400
TEENYsLATEt	92	0.01	400
TEENYsLATEt	93	0.01	400
TEENYsLATEt	94	0.01	400
TEENYsLATEt	95	0.01	400
TEENYsLATEt	96	0.01	400
TEENYsLATEt	97	0.01	400
TEENYsLATEt	98	0.01	400
TEENYsLATEt	99	0.01	400
TEENYsLATEt	100	0.01	400